model,dataset,seed,pca_dim,cheap_auroc,cheap_plus_pca_auroc,gain,pca_variance
falcon3_7b_instruct,arc_challenge,2025,32,0.8488888888888889,0.8586666666666667,0.0097777777777777,0.6238348484039307
falcon3_7b_instruct,arc_challenge,2025,64,0.8488888888888889,0.9013333333333332,0.0524444444444444,0.762706995010376
falcon3_7b_instruct,arc_challenge,2025,128,0.8488888888888889,0.8648888888888888,0.0159999999999999,0.9074575901031494
falcon3_7b_instruct,arc_challenge,2025,256,0.8488888888888889,0.8817777777777778,0.0328888888888888,0.9999999403953552
falcon3_7b_instruct,commonsenseqa,42,8,0.8425925925925927,0.8573556073556073,0.0147630147630146,0.2992350161075592
falcon3_7b_instruct,commonsenseqa,42,16,0.8425925925925927,0.8512691012691014,0.0086765086765087,0.4180706739425659
falcon3_7b_instruct,commonsenseqa,42,32,0.8425925925925927,0.8495855995855998,0.006993006993007,0.5307608842849731
falcon3_7b_instruct,commonsenseqa,42,64,0.8425925925925927,0.8297073297073297,-0.0128852628852629,0.6414141654968262
falcon3_7b_instruct,commonsenseqa,42,128,0.8425925925925927,0.7955840455840455,-0.0470085470085471,0.751374363899231
falcon3_7b_instruct,commonsenseqa,42,256,0.8425925925925927,0.722869722869723,-0.1197228697228697,0.8634876012802124
falcon3_7b_instruct,commonsenseqa,7,8,0.8172105672105672,0.8339160839160839,0.0167055167055166,0.3017697036266327
falcon3_7b_instruct,commonsenseqa,7,16,0.8172105672105672,0.8216783216783217,0.0044677544677544,0.4197555482387543
falcon3_7b_instruct,commonsenseqa,7,32,0.8172105672105672,0.8144263144263144,-0.0027842527842527,0.5315067768096924
falcon3_7b_instruct,commonsenseqa,7,64,0.8172105672105672,0.8029655529655529,-0.0142450142450142,0.6423068046569824
falcon3_7b_instruct,commonsenseqa,7,128,0.8172105672105672,0.774928774928775,-0.0422817922817921,0.7520759701728821
falcon3_7b_instruct,commonsenseqa,7,256,0.8172105672105672,0.7336829836829836,-0.0835275835275836,0.8636903166770935
falcon3_7b_instruct,commonsenseqa,123,8,0.7661227661227662,0.7711085211085211,0.0049857549857549,0.3003125190734863
falcon3_7b_instruct,commonsenseqa,123,16,0.7661227661227662,0.7690365190365189,0.0029137529137527,0.4185955226421356
falcon3_7b_instruct,commonsenseqa,123,32,0.7661227661227662,0.7861305361305362,0.0200077700077699,0.530722975730896
falcon3_7b_instruct,commonsenseqa,123,64,0.7661227661227662,0.7850945350945351,0.0189717689717688,0.6411161422729492
falcon3_7b_instruct,commonsenseqa,123,128,0.7661227661227662,0.7701372701372702,0.0040145040145039,0.7516255378723145
falcon3_7b_instruct,commonsenseqa,123,256,0.7661227661227662,0.7031209531209531,-0.063001813001813,0.8634923100471497
falcon3_7b_instruct,commonsenseqa,777,8,0.8517871017871017,0.8452473452473452,-0.0065397565397564,0.3005517125129699
falcon3_7b_instruct,commonsenseqa,777,16,0.8517871017871017,0.8379953379953381,-0.0137917637917636,0.4184845089912414
falcon3_7b_instruct,commonsenseqa,777,32,0.8517871017871017,0.8556073556073556,0.0038202538202538,0.5307489633560181
falcon3_7b_instruct,commonsenseqa,777,64,0.8517871017871017,0.8295130795130795,-0.0222740222740221,0.6412548422813416
falcon3_7b_instruct,commonsenseqa,777,128,0.8517871017871017,0.7906630406630407,-0.0611240611240609,0.7510492205619812
falcon3_7b_instruct,commonsenseqa,777,256,0.8517871017871017,0.7266899766899766,-0.1250971250971251,0.8630257248878479
