model,dataset,seed,layer_group,cheap_auroc,hidden_only_auroc,cheap_plus_layer_auroc,gain_over_cheap
falcon3_7b_instruct,arc_challenge,123,early,0.8622222222222222,0.6702222222222223,0.832888888888889,-0.0293333333333332
falcon3_7b_instruct,arc_challenge,123,middle,0.8622222222222222,0.5795555555555556,0.8017777777777777,-0.0604444444444445
falcon3_7b_instruct,arc_challenge,123,late,0.8622222222222222,0.7697777777777778,0.7946666666666667,-0.0675555555555554
falcon3_7b_instruct,arc_challenge,123,final,0.8622222222222222,0.8222222222222223,0.8711111111111112,0.0088888888888889
falcon3_7b_instruct,arc_challenge,123,all,0.8622222222222222,0.760888888888889,0.8,-0.0622222222222221
falcon3_7b_instruct,arc_challenge,777,early,0.8079999999999999,0.632,0.7991111111111111,-0.0088888888888888
falcon3_7b_instruct,arc_challenge,777,middle,0.8079999999999999,0.5146666666666667,0.8151111111111111,0.0071111111111111
falcon3_7b_instruct,arc_challenge,777,late,0.8079999999999999,0.7751111111111111,0.8302222222222222,0.0222222222222222
falcon3_7b_instruct,arc_challenge,777,final,0.8079999999999999,0.8106666666666666,0.824,0.016
falcon3_7b_instruct,arc_challenge,777,all,0.8079999999999999,0.8506666666666667,0.8302222222222222,0.0222222222222222
falcon3_7b_instruct,arc_challenge,2025,early,0.8488888888888889,0.6471111111111112,0.8337777777777777,-0.0151111111111111
falcon3_7b_instruct,arc_challenge,2025,middle,0.8488888888888889,0.5555555555555555,0.8266666666666667,-0.0222222222222222
falcon3_7b_instruct,arc_challenge,2025,late,0.8488888888888889,0.8613333333333334,0.8586666666666667,0.0097777777777777
falcon3_7b_instruct,arc_challenge,2025,final,0.8488888888888889,0.8435555555555556,0.8453333333333333,-0.0035555555555556
falcon3_7b_instruct,arc_challenge,2025,all,0.8488888888888889,0.8995555555555557,0.9013333333333332,0.0524444444444444
falcon3_7b_instruct,commonsenseqa,42,early,0.8425925925925927,0.56002331002331,0.7880082880082881,-0.0545843045843045
falcon3_7b_instruct,commonsenseqa,42,middle,0.8425925925925927,0.5612535612535613,0.7854830354830354,-0.0571095571095572
falcon3_7b_instruct,commonsenseqa,42,late,0.8425925925925927,0.7585470085470085,0.8156565656565656,-0.026936026936027
falcon3_7b_instruct,commonsenseqa,42,final,0.8425925925925927,0.778166278166278,0.8164335664335665,-0.0261590261590262
falcon3_7b_instruct,commonsenseqa,42,all,0.8425925925925927,0.7718855218855218,0.8297073297073297,-0.0128852628852629
falcon3_7b_instruct,commonsenseqa,7,early,0.8172105672105672,0.5792540792540792,0.772986272986273,-0.0442242942242941
falcon3_7b_instruct,commonsenseqa,7,middle,0.8172105672105672,0.5597643097643098,0.7983035483035483,-0.0189070189070188
falcon3_7b_instruct,commonsenseqa,7,late,0.8172105672105672,0.7623025123025123,0.8044548044548044,-0.0127557627557627
falcon3_7b_instruct,commonsenseqa,7,final,0.8172105672105672,0.7946127946127944,0.8169515669515669,-0.0002590002590002
falcon3_7b_instruct,commonsenseqa,7,all,0.8172105672105672,0.7457912457912458,0.8029655529655529,-0.0142450142450142
falcon3_7b_instruct,commonsenseqa,123,early,0.7661227661227662,0.5747863247863247,0.7685832685832688,0.0024605024605025
