model_key,model_family,dataset,seed,feature_set,probe,n_total,n_test,auroc,bootstrap_mean,ci_low,ci_high,base_accuracy,pca_dim,pca_explained_variance
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_hidden_summary,mlp,299,90,0.7051767676767676,0.7020723275013073,0.580348602055286,0.8109395279039584,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_hidden_summary,extratrees,299,90,0.7058080808080808,0.7072221249936287,0.5773830292390929,0.826829418777717,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_hidden_summary,hgb,299,90,0.6111111111111112,0.610381085902305,0.4805207493956486,0.7498039663461539,0.7357859531772575,,
olmo2_7b_instruct,OLMo,arc_challenge,7,pca_hidden_embeddings,logreg,299,90,0.6767676767676768,0.6743063324509887,0.5261585642889596,0.7937603963872939,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,pca_hidden_embeddings,mlp,299,90,0.44570707070707066,0.44662635540751117,0.3168958326876588,0.5871196313684576,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,pca_hidden_embeddings,extratrees,299,90,0.7020202020202021,0.7028875771393777,0.5840694444444444,0.837053348325837,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,pca_hidden_embeddings,hgb,299,90,0.7196969696969697,0.7204215818202798,0.6136856836132198,0.8446827205636812,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_pca_hidden,logreg,299,90,0.6641414141414141,0.6624716641887007,0.5268581584478323,0.7669978044973743,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_pca_hidden,mlp,299,90,0.5618686868686869,0.5597079757937506,0.4284389245399412,0.6841973347832723,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_pca_hidden,extratrees,299,90,0.7335858585858587,0.733769655819725,0.594109603046801,0.8439857980255039,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,7,cheap_plus_pca_hidden,hgb,299,90,0.7171717171717172,0.7198212742064182,0.5981213097155126,0.8457696770854202,0.7357859531772575,64.0,0.751315712928772
olmo2_7b_instruct,OLMo,arc_challenge,123,direct_pmax,none,299,90,0.73989898989899,0.7370647998824791,0.6157018665490888,0.850013695152584,,,
olmo2_7b_instruct,OLMo,arc_challenge,123,cheap_confidence_option,logreg,299,90,0.7525252525252525,0.7532312121721382,0.6267622710888783,0.857581312000223,0.7357859531772575,,
