model_key,dataset,signal,seed,AURC,E_AURC,AURC_opt,risk_at_80cov,retained_acc_at_80cov,risk_at_60cov,retained_acc_at_60cov,risk_at_40cov,retained_acc_at_40cov,failure_capture_at_20abstain,failure_capture_at_40abstain,failure_capture_at_60abstain
deepseek_r1_qwen7b,hellaswag,pca_hidden_embeddings__mlp,594.8,0.7333664128982692,0.3378583373507367,0.3955080755475324,0.7358333333333333,0.26416666666666666,0.7244444444444444,0.27555555555555555,0.7366666666666667,0.2633333333333333,0.20807174887892374,0.41524663677130047,0.6035874439461884
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option__extratrees,594.8,0.6347352853248618,0.2825384395196172,0.35219684580524463,0.6925000000000001,0.3075,0.6633333333333333,0.3366666666666666,0.6083333333333333,0.3916666666666667,0.21971830985915494,0.4394366197183099,0.6572769953051644
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option__hgb,594.8,0.6564323734293862,0.3042355276241416,0.35219684580524463,0.6941666666666666,0.30583333333333335,0.6733333333333333,0.32666666666666666,0.6416666666666666,0.35833333333333334,0.21784037558685446,0.4309859154929577,0.6384976525821596
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option__logreg,594.8,0.6622087608324336,0.310011915027189,0.35219684580524463,0.6950000000000001,0.305,0.6799999999999999,0.32,0.655,0.34500000000000003,0.21690140845070421,0.4253521126760564,0.6309859154929578
deepseek_r1_qwen7b,mmlu_all,cheap_confidence_option__mlp,594.8,0.6510303536177195,0.2988335078124749,0.35219684580524463,0.6958333333333333,0.3041666666666667,0.6722222222222223,0.3277777777777778,0.6533333333333333,0.3466666666666667,0.215962441314554,0.431924882629108,0.631924882629108
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary__extratrees,594.8,0.6481601724060779,0.2959633266008333,0.35219684580524463,0.6891666666666667,0.31083333333333335,0.6566666666666666,0.3433333333333334,0.63,0.37,0.22347417840375586,0.44507042253521123,0.6450704225352112
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary__hgb,594.8,0.6576621925970679,0.30546534679182324,0.35219684580524463,0.6883333333333332,0.31166666666666665,0.6688888888888889,0.3311111111111111,0.6516666666666666,0.34833333333333333,0.2244131455399061,0.4347417840375587,0.6328638497652582
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary__logreg,594.8,0.6676740747912983,0.3154772289860536,0.35219684580524463,0.7016666666666667,0.29833333333333334,0.7,0.3,0.6833333333333333,0.3166666666666667,0.20938967136150236,0.4084507042253521,0.6150234741784038
deepseek_r1_qwen7b,mmlu_all,cheap_plus_hidden_summary__mlp,594.8,0.671062221632478,0.3188653758272334,0.35219684580524463,0.7025,0.2975,0.6844444444444445,0.31555555555555553,0.6766666666666666,0.32333333333333336,0.2084507042253521,0.4215962441314554,0.6187793427230047
deepseek_r1_qwen7b,mmlu_all,cheap_plus_pca_hidden__extratrees,594.8,0.6488860765740032,0.2966892307687586,0.35219684580524463,0.6933333333333334,0.30666666666666664,0.6755555555555556,0.3244444444444444,0.6366666666666666,0.3633333333333334,0.2187793427230047,0.4291079812206573,0.6413145539906103
