model_key,dataset,feature_set,probe,count,mean_auroc,std_auroc,mean_ci_low,mean_ci_high
falcon3_7b_instruct,hellaswag,cheap_plus_hidden_summary,extratrees,5,0.8129995126705654,0.030856417046445782,0.759182184282685,0.8648934270706917
falcon3_7b_instruct,hellaswag,cheap_plus_hidden_summary,hgb,5,0.7900097465886939,0.028916115343141986,0.7331850809120266,0.8465888150269907
falcon3_7b_instruct,hellaswag,cheap_plus_hidden_summary,logreg,5,0.8220394736842105,0.034954280162620116,0.7695540644114545,0.8692940782670775
falcon3_7b_instruct,hellaswag,cheap_plus_hidden_summary,mlp,5,0.7639132553606237,0.07946265878645126,0.7017996644570165,0.8241670331121306
falcon3_7b_instruct,hellaswag,cheap_plus_pca_hidden,extratrees,5,0.8166910331384015,0.03570081547785178,0.7633056068551058,0.8667479388736998
falcon3_7b_instruct,hellaswag,cheap_plus_pca_hidden,hgb,5,0.8014863547758285,0.03332778673872197,0.7462851367461718,0.8562734279039969
falcon3_7b_instruct,hellaswag,cheap_plus_pca_hidden,logreg,5,0.8154605263157894,0.028103479792628425,0.7659428498068697,0.8657242941997577
falcon3_7b_instruct,hellaswag,cheap_plus_pca_hidden,mlp,5,0.7300073099415204,0.07349298341708099,0.6624807481424299,0.7942584003443454
falcon3_7b_instruct,hellaswag,direct_pmax,none,5,0.7052631578947368,0.02791598486714987,0.637884387801235,0.7711110038566442
falcon3_7b_instruct,hellaswag,hidden_summary_only,extratrees,5,0.7002314814814815,0.02824741103674516,0.6343774639519584,0.7634483075998879
